,Manga ID,English Title,Japanese Title,Type,Volumes,Chapters,Status,Published,Genres,Author,Serialization,Score,Ranked,Popularity,Members
190,84255,I Hear the Sunspot,ひだまりが聴こえる,Manga,Unknown,Unknown,Publishing,"Dec  21, 2013 to ?","['School', 'Shounen', 'Shounen', 'Slice', 'Slice']","['Fumino, Yuki (Story & Art)']",Canna,8.37,189,662,15493
191,24308,No.6,NO.6 [ナンバーシックス],Manga,9,35,Finished,"Jan  28, 2011 to Nov  28, 2013","['Action', 'Mystery', 'Drama', 'Sci', 'Sci', 'Shoujo']","['Asano, Atsuko (Story)', ' Kino, Hinoki (Art)']",ARIA,8.37,193,269,32670
192,43915,Unknown,封神紀Ⅱ,Manhua,Unknown,64,Finished,2011 to 2012,"['Action', 'Fantasy', 'Historical', 'Martial', 'Martial', 'Supernatural']","['Tang, Chi Fai (Art)', ' Zheng, Jian He (Story)', ' Cheng, Kin Wo (Art)']",None,8.37,194,1095,10121
193,44711,Unknown,封神纪III,Manhua,Unknown,80,Finished,2012 to 2014,"['Action', 'Fantasy', 'Historical', 'Martial', 'Martial', 'Supernatural', 'Seinen']","['Tang, Chi Fai (Art)', ' Zheng, Jian He (Story)', ' Cheng, Kin Wo (Art)']",None,8.37,195,1421,7972
194,47022,Unknown,坂道のアポロン BONUS TRACK,Manga,1,5,Finished,"Mar  28, 2012 to Jul  28, 2012","['Drama', 'Historical', 'Music', 'Romance', 'Slice', 'Slice', 'Josei']","['Kodama, Yuki (Story & Art)']",Flowers (Monthly),8.37,195,2647,4424
195,85,Azumanga Daioh,あずまんが大王,Manga,4,69,Finished,"Jan  18, 1999 to Mar  21, 2002","['Comedy', 'School', 'Slice', 'Slice']","['Azuma, Kiyohiko (Story & Art)']",Dengeki Daioh,8.37,190,233,36066
196,895,Full Metal Panic! Sigma,フルメタル・パニック! Σ,Manga,19,90,Finished,"Apr  9, 2005 to Sep  9, 2013","['Action', 'Mecha', 'Romance', 'Shounen', 'Military']","['Gatoh, Shoji (Story)', ' Ueda, Hiroshi (Art)']",Dragon Age,8.37,191,1191,9357
197,7458,Death Note Another Note: The Los Angeles BB Murder Cases,DEATH NOTE アナザーノート ロサンゼルスBB連続殺人事件,Novel,1,7,Finished,"Aug  1, 2006",['Mystery'],"['Obata, Takeshi (Art)', ' NISIO, ISIN (Story)']",None,8.37,192,372,25265
198,79,Red River,天は赤い河のほとり,Manga,28,96,Finished,"Jan  5, 1995 to Jun  5, 2002","['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Shoujo', 'Supernatural']","['Shinohara, Chie (Story & Art)']",Sho-Comi,8.36,199,555,17667
199,481,Planetes,プラネテス ΠΛΑΝΗΤΕΣ,Manga,4,27,Finished,"Jan  14, 1999 to Jan  8, 2004","['Drama', 'Sci', 'Sci', 'Space', 'Slice', 'Slice', 'Psychological', 'Seinen']","['Yukimura, Makoto (Story & Art)']",Morning,8.36,200,335,27689
200,762,Unknown,東京クレイジーパラダイス,Manga,19,111,Finished,"Dec  25, 1996 to Apr  25, 2002","['Action', 'Comedy', 'Drama', 'Romance', 'Shoujo', 'Gender', 'Gender']","['Nakamura, Yoshiki (Story & Art)']",Hana to Yume,8.36,201,696,14691
201,3573,Unknown,賭博破戒録カイジ,Manga,13,134,Finished,Nov 2000 to Apr 2004,"['Drama', 'Game']","['Fukumoto, Nobuyuki (Story & Art)']",Young Magazine (Weekly),8.36,202,1883,6147
202,11054,Unknown,BILLY BAT,Manga,20,165,Finished,"Oct  16, 2008 to Aug  18, 2016","['Mystery', 'Drama', 'Historical', 'Supernatural', 'Police', 'Psychological', 'Seinen']","['Urasawa, Naoki (Story & Art)', ' Nagasaki, Takashi (Story)']",Morning,8.36,203,380,24826
203,111211,Unknown,치즈인더트랩 시즌4,Manhwa,7,29,Finished,"Sep  2, 2015 to Mar  29, 2017","['Comedy', 'Mystery', 'Romance', 'School', 'Slice', 'Slice']",['Soonkki (Story & Art)'],Naver Webtoon,8.36,204,3438,3370
204,33031,Alice in Borderland,今際の国のアリス,Manga,18,87,Finished,"Nov  25, 2010 to Mar  2, 2016","['Action', 'Horror', 'Shounen', 'Supernatural', 'Psychological']","['Aso, Haro (Story & Art)']",Shounen Sunday Super,8.36,205,439,21172
205,29983,Noblesse,노블레스,Manhwa,Unknown,Unknown,Finished,"Dec  30, 2007 to Jan  7, 2019","['Action', 'Adventure', 'Comedy', 'School', 'Supernatural']","['Son, Jae-Ho (Story)', ' Lee, Gwang-Su (Art)']",Naver Webtoon,8.35,206,82,72647
206,267,Hellsing,ヘルシング,Manga,10,92,Finished,"1997 to Sep  30, 2008","['Action', 'Historical', 'Horror', 'Vampire', 'Supernatural', 'Seinen']","['Hirano, Kouta (Story & Art)']",Young King OURs,8.35,207,111,62888
