,Rank,Country,Player,Accuracy,Play Count,Performance,SS,S,A
9,260,Poland,Kurogami,98.43%,"102,216","12,333",109,"1,178","1,229"
10,261,United States,LightsOut,97.48%,"141,436","12,332",201,"1,504","1,015"
11,262,Poland,Wilchq,99.35%,"123,316","12,332","5,761","6,164",721
12,263,Lithuania,Auji,97.68%,"144,380","12,320",23,"1,340","1,671"
13,264,Portugal,Mizuru,98.79%,"105,870","12,316",93,"1,028","1,522"
14,265,Canada,Ukase,97.34%,"143,078","12,310",100,"1,373","1,887"
15,266,Taiwan,_Shield,99.18%,"105,270","12,299",333,"2,279","1,710"
16,267,Netherlands,Skyrovania,98.95%,"94,150","12,288",19,855,"1,357"
17,268,United States,Failing,98.66%,"72,794","12,286",148,"1,385",668
18,269,United States,Tekkito,98.11%,"68,530","12,285",57,927,"1,882"
19,270,Russian Federation,VoProSSoFF,97.75%,"122,440","12,284",76,695,825
20,271,South Korea,Hana Ichinose,96.41%,"55,163","12,276",91,"1,206","1,015"
21,272,Japan,chankoma,98.36%,"186,864","12,276",449,"2,017",708
22,273,Brazil,NoSin,97.71%,"62,331","12,275",131,"1,074","1,153"
23,274,Chile,Danidesu,97.36%,"90,835","12,267",63,804,"1,295"
24,275,Philippines,Thorfinn,98.25%,"116,846","12,266",72,944,545
25,276,Germany,Smarteyy,99.23%,"82,446","12,253",76,"2,024","3,182"
26,277,Turkey,Rulyz,99.22%,"25,548","12,249",30,374,630
27,278,South Korea,Doomsday fanboy,96.95%,"108,196","12,242",60,"1,186",626
28,279,United States,t[-_-t],98.20%,"184,770","12,242",80,"1,735","1,605"
29,280,Russian Federation,-Din-,98.46%,"127,736","12,240",49,702,"1,531"
30,281,Poland,rebella,94.73%,"123,012","12,238",23,556,592
31,282,United Kingdom,majoreh,96.88%,"170,941","12,233",77,"1,303","1,978"
32,283,United States,watun,98.19%,"87,074","12,213",207,877,"1,483"
33,284,Taiwan,Eunha -,98.46%,"135,179","12,210",69,545,519
34,285,Russian Federation,_index,98.47%,"87,086","12,209",489,"1,912",791
35,286,United States,Trail Mix,97.66%,"99,389","12,205",287,"1,847","2,283"
36,287,Russian Federation,Disaster,98.68%,"61,805","12,188",6,552,"1,490"
37,288,United States,Topoi,97.53%,"109,430","12,186",109,"1,739","1,754"
38,289,Australia,jordanlr7,98.52%,"92,832","12,184",118,"1,089","1,375"
39,290,South Korea,Qu1z,97.61%,"84,941","12,183",39,634,"1,271"
40,291,United States,Apraxia,98.68%,"131,323","12,179",169,"1,556","2,597"
41,292,United States,Aknama,97.07%,"192,673","12,179",51,558,909
42,293,United States,Num5119,98.36%,"143,640","12,178",81,"1,173","1,830"
43,294,Finland,Sakke,98.32%,"83,376","12,172",17,364,448
44,295,Japan,SunFesta,96.58%,"87,207","12,171",151,624,980
45,296,Germany,Neliel,98.75%,"162,220","12,164",42,"1,982","1,144"
46,297,Philippines,newphone whodis,95.94%,"102,480","12,163",20,406,611
47,298,United States,Sytho,96.67%,"150,267","12,159",136,391,345
48,299,Hong Kong,-Yulia-,96.55%,"132,247","12,157",29,886,"1,307"
49,300,Brazil,Mystia,98.87%,"186,282","12,156",260,"1,152","1,358"
0,301,Brazil,NovatoKing,97.57%,"53,758","12,149",20,704,"2,063"
1,302,Turkey,heyronii,97.50%,"121,507","12,146",37,993,"2,087"
2,303,United States,Jakson,97.75%,"60,797","12,141",21,383,"1,482"
3,304,Sweden,Jageko,98.01%,"232,988","12,140",154,"1,296","1,755"
4,305,Finland,boleks,99.05%,"156,023","12,140",179,"2,028","1,356"
5,306,Argentina,oni,98.52%,"43,452","12,140",151,695,583
6,307,United States,WillCookie,99.01%,"92,215","12,139","4,760","2,638","1,433"
7,308,Russian Federation,zin,98.05%,"128,462","12,138",202,"2,011","1,775"
8,309,United States,5ome0ne,96.33%,"68,468","12,134",9,303,210
9,310,Uruguay,Rebo,98.63%,"84,305","12,128",95,"1,058","1,700"
10,311,Australia,Blobby3000,98.66%,"100,138","12,127",81,"1,145","1,784"
11,312,Norway,Surv,98.20%,"90,097","12,124",111,519,613
12,313,United Kingdom,Kingling,99.41%,"150,536","12,123",960,"2,744","2,382"
13,314,South Korea,Hugofrost 2,96.20%,"125,743","12,119",118,732,701
14,315,South Korea,Mecarl,98.08%,"104,108","12,114",48,"1,361",862
15,316,Ukraine,Tooqie,98.00%,"96,477","12,112",31,483,478
16,317,Philippines,Xyloz,98.64%,"75,495","12,109",88,"1,117",865
17,318,Philippines,MioMilo,99.01%,"179,980","12,105",340,"2,998","1,835"
18,319,United States,BoshyMan741,97.98%,"99,615","12,100",152,"1,302","1,841"
19,320,Japan,Calcium,97.64%,"197,231","12,094",47,"1,507","4,641"
20,321,Germany,KyoouN,99.03%,"150,257","12,094",45,986,"1,065"
21,322,China,Crystal,97.83%,"128,465","12,085",930,"5,219","1,605"
22,323,South Korea,nah,97.71%,"26,351","12,080",19,277,848
23,324,Canada,YummyinmyTummy,99.45%,"67,394","12,079",120,874,"1,179"
24,325,Japan,Rean-K,97.58%,"87,020","12,079",25,"1,332","1,259"
25,326,South Korea,w1sp,97.45%,"45,381","12,074",39,714,950
26,327,South Korea,T A K A O,97.94%,"131,465","12,061",162,"1,164","2,212"
27,328,Finland,Miseration,98.11%,"131,831","12,058",14,456,869
28,329,Poland,TWOJA STARA,99.17%,"106,169","12,056",409,"1,695","1,247"
29,330,Japan,haga1115,98.86%,"120,085","12,048",269,"1,408","2,551"
30,331,Kazakhstan,Calideon,97.68%,"42,614","12,040",97,687,"1,597"
31,332,Philippines,KagenoKami,97.95%,"114,333","12,030",52,796,"1,390"
32,333,China,iMey,99.37%,"41,230","12,029",22,526,316
33,334,Germany,yary_nicht_lary,96.57%,"74,547","12,027",65,713,822
34,335,South Korea,Naco,95.67%,"44,467","12,026",25,290,732
35,336,Singapore,kyorii,95.89%,"80,448","12,023",42,510,433
36,337,Mexico,KevstracK,97.42%,"115,164","12,017",83,"1,135","1,427"
37,338,Czech Republic,MrNobady,99.02%,"120,789","12,016",57,"1,055",889
38,339,United States,Exarch,99.04%,"123,394","12,009",74,"1,289","1,744"
39,340,Poland,Astar,97.39%,"170,938","12,008",107,"2,036","1,698"
40,341,Germany,liIIy,98.86%,"85,391","12,000",66,853,"1,337"
